date,time,county,deaths,cases
2020-02-29,38,Anderson,0,0
2020-02-29,38,Cherokee,0,0
2020-02-29,38,Greenville,0,0
2020-02-29,38,Greenwood,0,0
2020-02-29,38,Laurens,0,0
2020-02-29,38,Oconee,0,0
2020-02-29,38,Pickens,0,0
2020-02-29,38,Spartanburg,0,0
2020-02-29,38,Union,0,0
2020-03-01,39,Abbeville,0,0
2020-03-01,39,Anderson,0,0
2020-03-01,39,Cherokee,0,0
2020-03-01,39,Greenville,0,0
2020-03-01,39,Greenwood,0,0
2020-03-01,39,Laurens,0,0
2020-03-01,39,Oconee,0,0
2020-03-01,39,Pickens,0,0
2020-03-01,39,Spartanburg,0,0
2020-03-01,39,Union,0,0
2020-03-02,40,Abbeville,0,0
2020-03-02,40,Anderson,0,0
2020-03-02,40,Cherokee,0,0
2020-03-02,40,Greenville,0,0
2020-03-02,40,Greenwood,0,0
2020-03-02,40,Laurens,0,0
2020-03-02,40,Oconee,0,0
2020-03-02,40,Pickens,0,0
2020-03-02,40,Spartanburg,0,0
2020-03-02,40,Union,0,0
2020-03-03,41,Abbeville,0,0
2020-03-03,41,Anderson,0,0
2020-03-03,41,Cherokee,0,0
2020-03-03,41,Greenville,0,0
2020-03-03,41,Greenwood,0,0
2020-03-03,41,Laurens,0,0
2020-03-03,41,Oconee,0,0
2020-03-03,41,Pickens,0,0
2020-03-03,41,Spartanburg,0,0
2020-03-03,41,Union,0,0
2020-03-04,42,Abbeville,0,0
2020-03-04,42,Anderson,0,0
2020-03-04,42,Cherokee,0,0
2020-03-04,42,Greenville,0,0
2020-03-04,42,Greenwood,0,0
2020-03-04,42,Laurens,0,0
2020-03-04,42,Oconee,0,0
2020-03-04,42,Pickens,0,0
2020-03-04,42,Spartanburg,0,0
2020-03-04,42,Union,0,0
2020-03-05,43,Abbeville,0,0
2020-03-05,43,Anderson,0,0
2020-03-05,43,Cherokee,0,0
2020-03-05,43,Greenville,0,0
2020-03-05,43,Greenwood,0,0
2020-03-05,43,Laurens,0,0
2020-03-05,43,Oconee,0,0
2020-03-05,43,Pickens,0,0
2020-03-05,43,Spartanburg,0,0
2020-03-05,43,Union,0,0
2020-03-06,44,Abbeville,0,0
2020-03-06,44,Anderson,0,0
2020-03-06,44,Cherokee,0,0
2020-03-06,44,Greenville,0,0
2020-03-06,44,Greenwood,0,0
2020-03-06,44,Laurens,0,0
2020-03-06,44,Oconee,0,0
2020-03-06,44,Pickens,0,0
2020-03-06,44,Spartanburg,0,0
2020-03-06,44,Union,0,0
2020-03-07,45,Abbeville,0,0
2020-03-07,45,Anderson,0,0
2020-03-07,45,Cherokee,0,0
2020-03-07,45,Greenville,0,0
2020-03-07,45,Greenwood,0,0
2020-03-07,45,Laurens,0,0
2020-03-07,45,Oconee,0,0
2020-03-07,45,Pickens,0,0
2020-03-07,45,Spartanburg,0,0
2020-03-07,45,Union,0,0
2020-03-08,46,Abbeville,0,0
2020-03-08,46,Anderson,0,0
2020-03-08,46,Cherokee,0,0
2020-03-08,46,Greenville,0,0
2020-03-08,46,Greenwood,0,0
2020-03-08,46,Laurens,0,0
2020-03-08,46,Oconee,0,0
2020-03-08,46,Pickens,0,0
2020-03-08,46,Spartanburg,0,0
2020-03-08,46,Union,0,0
2020-03-09,47,Abbeville,0,0
2020-03-09,47,Anderson,0,0
2020-03-09,47,Cherokee,0,0
2020-03-09,47,Greenville,0,0
2020-03-09,47,Greenwood,0,0
2020-03-09,47,Laurens,0,0
2020-03-09,47,Oconee,0,0
2020-03-09,47,Pickens,0,0
2020-03-09,47,Spartanburg,0,0
2020-03-09,47,Union,0,0
2020-03-10,48,Abbeville,0,0
2020-03-10,48,Anderson,0,0
2020-03-10,48,Cherokee,0,0
2020-03-10,48,Greenville,0,0
2020-03-10,48,Greenwood,0,0
2020-03-10,48,Laurens,0,0
2020-03-10,48,Oconee,0,0
2020-03-10,48,Pickens,0,0
2020-03-10,48,Spartanburg,0,1
2020-03-10,48,Union,0,0
2020-03-11,49,Abbeville,0,0
2020-03-11,49,Anderson,0,0
2020-03-11,49,Cherokee,0,0
2020-03-11,49,Greenville,0,0
2020-03-11,49,Greenwood,0,0
2020-03-11,49,Laurens,0,0
2020-03-11,49,Oconee,0,0
2020-03-11,49,Pickens,0,0
2020-03-11,49,Spartanburg,0,0
2020-03-11,49,Union,0,0
2020-03-12,50,Abbeville,0,0
2020-03-12,50,Anderson,0,0
2020-03-12,50,Cherokee,0,0
2020-03-12,50,Greenville,0,0
2020-03-12,50,Greenwood,0,0
2020-03-12,50,Laurens,0,0
2020-03-12,50,Oconee,0,0
2020-03-12,50,Pickens,0,0
2020-03-12,50,Spartanburg,0,0
2020-03-12,50,Union,0,0
2020-03-13,51,Abbeville,0,0
2020-03-13,51,Anderson,0,0
2020-03-13,51,Cherokee,0,0
2020-03-13,51,Greenville,0,0
2020-03-13,51,Greenwood,0,0
2020-03-13,51,Laurens,0,0
2020-03-13,51,Oconee,0,0
2020-03-13,51,Pickens,0,0
2020-03-13,51,Spartanburg,0,0
2020-03-13,51,Union,0,0
2020-03-14,52,Abbeville,0,0
2020-03-14,52,Anderson,0,0
2020-03-14,52,Cherokee,0,0
2020-03-14,52,Greenville,0,0
2020-03-14,52,Greenwood,0,0
2020-03-14,52,Laurens,0,0
2020-03-14,52,Oconee,0,0
2020-03-14,52,Pickens,0,0
2020-03-14,52,Spartanburg,0,0
2020-03-14,52,Union,0,0
2020-03-15,53,Abbeville,0,0
2020-03-15,53,Anderson,0,0
2020-03-15,53,Cherokee,0,0
2020-03-15,53,Greenville,0,0
2020-03-15,53,Greenwood,0,0
2020-03-15,53,Laurens,0,0
2020-03-15,53,Oconee,0,0
2020-03-15,53,Pickens,0,0
2020-03-15,53,Spartanburg,0,0
2020-03-15,53,Union,0,0
2020-03-16,54,Abbeville,0,0
2020-03-16,54,Anderson,0,0
2020-03-16,54,Cherokee,0,0
2020-03-16,54,Greenville,0,0
2020-03-16,54,Greenwood,0,0
2020-03-16,54,Laurens,0,0
2020-03-16,54,Oconee,0,0
2020-03-16,54,Pickens,0,0
2020-03-16,54,Spartanburg,0,0
2020-03-16,54,Union,0,0
2020-03-17,55,Abbeville,0,0
2020-03-17,55,Anderson,0,2
2020-03-17,55,Cherokee,0,0
2020-03-17,55,Greenville,0,1
2020-03-17,55,Greenwood,0,0
2020-03-17,55,Laurens,0,0
2020-03-17,55,Oconee,0,0
2020-03-17,55,Pickens,0,0
2020-03-17,55,Spartanburg,0,0
2020-03-17,55,Union,0,0
2020-03-18,56,Abbeville,0,0
2020-03-18,56,Anderson,0,0
2020-03-18,56,Cherokee,0,0
2020-03-18,56,Greenville,0,1
2020-03-18,56,Greenwood,0,0
2020-03-18,56,Laurens,0,0
2020-03-18,56,Oconee,0,0
2020-03-18,56,Pickens,0,0
2020-03-18,56,Spartanburg,0,0
2020-03-18,56,Union,0,0
2020-03-19,57,Abbeville,0,0
2020-03-19,57,Anderson,0,0
2020-03-19,57,Cherokee,0,0
2020-03-19,57,Greenville,0,1
2020-03-19,57,Greenwood,0,0
2020-03-19,57,Laurens,0,0
2020-03-19,57,Oconee,0,0
2020-03-19,57,Pickens,0,0
2020-03-19,57,Spartanburg,0,0
2020-03-19,57,Union,0,0
2020-03-20,58,Abbeville,0,1
2020-03-20,58,Anderson,0,0
2020-03-20,58,Cherokee,0,0
2020-03-20,58,Greenville,0,4
2020-03-20,58,Greenwood,0,0
2020-03-20,58,Laurens,0,0
2020-03-20,58,Oconee,0,0
2020-03-20,58,Pickens,0,0
2020-03-20,58,Spartanburg,0,0
2020-03-20,58,Union,0,0
2020-03-21,59,Abbeville,0,0
2020-03-21,59,Anderson,0,4
2020-03-21,59,Cherokee,0,0
2020-03-21,59,Greenville,0,5
2020-03-21,59,Greenwood,0,0
2020-03-21,59,Laurens,0,0
2020-03-21,59,Oconee,0,0
2020-03-21,59,Pickens,0,1
2020-03-21,59,Spartanburg,0,0
2020-03-21,59,Union,0,0
2020-03-22,60,Abbeville,0,0
2020-03-22,60,Anderson,0,4
2020-03-22,60,Cherokee,0,0
2020-03-22,60,Greenville,0,5
2020-03-22,60,Greenwood,0,3
2020-03-22,60,Laurens,0,0
2020-03-22,60,Oconee,0,0
2020-03-22,60,Pickens,0,0
2020-03-22,60,Spartanburg,0,1
2020-03-22,60,Union,0,0
2020-03-23,61,Abbeville,0,0
2020-03-23,61,Anderson,0,0
2020-03-23,61,Cherokee,0,0
2020-03-23,61,Greenville,0,2
2020-03-23,61,Greenwood,0,0
2020-03-23,61,Laurens,0,0
2020-03-23,61,Oconee,0,0
2020-03-23,61,Pickens,0,0
2020-03-23,61,Spartanburg,0,0
2020-03-23,61,Union,0,0
2020-03-24,62,Abbeville,0,0
2020-03-24,62,Anderson,0,5
2020-03-24,62,Cherokee,0,0
2020-03-24,62,Greenville,0,12
2020-03-24,62,Greenwood,0,-1
2020-03-24,62,Laurens,0,0
2020-03-24,62,Oconee,0,2
2020-03-24,62,Pickens,0,0
2020-03-24,62,Spartanburg,0,1
2020-03-24,62,Union,0,0
2020-03-25,63,Abbeville,0,0
2020-03-25,63,Anderson,0,1
2020-03-25,63,Cherokee,0,0
2020-03-25,63,Greenville,0,8
2020-03-25,63,Greenwood,0,0
2020-03-25,63,Laurens,0,0
2020-03-25,63,Oconee,0,0
2020-03-25,63,Pickens,0,0
2020-03-25,63,Spartanburg,0,1
2020-03-25,63,Union,0,0
2020-03-26,64,Abbeville,0,2
2020-03-26,64,Anderson,0,3
2020-03-26,64,Cherokee,0,0
2020-03-26,64,Greenville,0,11
2020-03-26,64,Greenwood,0,0
2020-03-26,64,Laurens,0,0
2020-03-26,64,Oconee,0,0
2020-03-26,64,Pickens,0,5
2020-03-26,64,Spartanburg,0,5
2020-03-26,64,Union,0,1
2020-03-27,65,Abbeville,0,0
2020-03-27,65,Anderson,0,0
2020-03-27,65,Cherokee,0,0
2020-03-27,65,Greenville,0,0
2020-03-27,65,Greenwood,0,0
2020-03-27,65,Laurens,0,0
2020-03-27,65,Oconee,0,0
2020-03-27,65,Pickens,0,0
2020-03-27,65,Spartanburg,0,0
2020-03-27,65,Union,0,0
2020-03-28,66,Abbeville,0,1
2020-03-28,66,Anderson,0,2
2020-03-28,66,Cherokee,0,0
2020-03-28,66,Greenville,1,1
2020-03-28,66,Greenwood,0,0
2020-03-28,66,Laurens,0,0
2020-03-28,66,Oconee,0,1
2020-03-28,66,Pickens,0,1
2020-03-28,66,Spartanburg,0,7
2020-03-28,66,Union,0,0
2020-03-29,67,Abbeville,0,-1
2020-03-29,67,Anderson,0,3
2020-03-29,67,Cherokee,0,0
2020-03-29,67,Greenville,0,6
2020-03-29,67,Greenwood,0,1
2020-03-29,67,Laurens,0,2
2020-03-29,67,Oconee,0,0
2020-03-29,67,Pickens,0,3
2020-03-29,67,Spartanburg,0,5
2020-03-29,67,Union,0,0
2020-03-30,68,Abbeville,0,0
2020-03-30,68,Anderson,0,5
2020-03-30,68,Cherokee,0,0
2020-03-30,68,Greenville,0,14
2020-03-30,68,Greenwood,0,0
2020-03-30,68,Laurens,0,1
2020-03-30,68,Oconee,0,1
2020-03-30,68,Pickens,0,1
2020-03-30,68,Spartanburg,0,4
2020-03-30,68,Union,0,0
2020-03-31,69,Abbeville,0,0
2020-03-31,69,Anderson,1,2
2020-03-31,69,Cherokee,0,0
2020-03-31,69,Greenville,0,17
2020-03-31,69,Greenwood,0,0
2020-03-31,69,Laurens,0,0
2020-03-31,69,Oconee,0,0
2020-03-31,69,Pickens,0,2
2020-03-31,69,Spartanburg,0,5
2020-03-31,69,Union,0,2
2020-04-01,70,Abbeville,0,1
2020-04-01,70,Anderson,0,8
2020-04-01,70,Cherokee,0,0
2020-04-01,70,Greenville,0,18
2020-04-01,70,Greenwood,0,2
2020-04-01,70,Laurens,0,0
2020-04-01,70,Oconee,0,1
2020-04-01,70,Pickens,0,1
2020-04-01,70,Spartanburg,0,7
2020-04-01,70,Union,0,0
2020-04-02,71,Abbeville,0,0
2020-04-02,71,Anderson,1,8
2020-04-02,71,Cherokee,0,0
2020-04-02,71,Greenville,0,23
2020-04-02,71,Greenwood,0,1
2020-04-02,71,Laurens,0,1
2020-04-02,71,Oconee,0,0
2020-04-02,71,Pickens,0,0
2020-04-02,71,Spartanburg,0,8
2020-04-02,71,Union,0,0
2020-04-03,72,Abbeville,0,2
2020-04-03,72,Anderson,1,10
2020-04-03,72,Cherokee,0,1
2020-04-03,72,Greenville,0,25
2020-04-03,72,Greenwood,0,2
2020-04-03,72,Laurens,0,0
2020-04-03,72,Oconee,0,0
2020-04-03,72,Pickens,0,1
2020-04-03,72,Spartanburg,0,5
2020-04-03,72,Union,0,2
2020-04-04,73,Abbeville,0,0
2020-04-04,73,Anderson,0,5
2020-04-04,73,Cherokee,0,0
2020-04-04,73,Greenville,1,20
2020-04-04,73,Greenwood,0,1
2020-04-04,73,Laurens,0,2
2020-04-04,73,Oconee,0,0
2020-04-04,73,Pickens,0,2
2020-04-04,73,Spartanburg,0,10
2020-04-04,73,Union,0,1
2020-04-05,74,Abbeville,0,0
2020-04-05,74,Anderson,0,6
2020-04-05,74,Cherokee,0,1
2020-04-05,74,Greenville,0,9
2020-04-05,74,Greenwood,0,1
2020-04-05,74,Laurens,0,0
2020-04-05,74,Oconee,0,3
2020-04-05,74,Pickens,0,0
2020-04-05,74,Spartanburg,0,12
2020-04-05,74,Union,0,3
2020-04-06,75,Abbeville,0,0
2020-04-06,75,Anderson,0,1
2020-04-06,75,Cherokee,0,0
2020-04-06,75,Greenville,0,3
2020-04-06,75,Greenwood,0,0
2020-04-06,75,Laurens,0,0
2020-04-06,75,Oconee,0,0
2020-04-06,75,Pickens,0,1
2020-04-06,75,Spartanburg,0,3
2020-04-06,75,Union,0,2
2020-04-07,76,Abbeville,0,0
2020-04-07,76,Anderson,1,3
2020-04-07,76,Cherokee,0,2
2020-04-07,76,Greenville,0,18
2020-04-07,76,Greenwood,0,1
2020-04-07,76,Laurens,0,0
2020-04-07,76,Oconee,0,0
2020-04-07,76,Pickens,0,2
2020-04-07,76,Spartanburg,1,13
2020-04-07,76,Union,0,1
2020-04-08,77,Abbeville,0,-1
2020-04-08,77,Anderson,0,3
2020-04-08,77,Cherokee,0,0
2020-04-08,77,Greenville,1,10
2020-04-08,77,Greenwood,0,1
2020-04-08,77,Laurens,0,0
2020-04-08,77,Oconee,0,1
2020-04-08,77,Pickens,0,1
2020-04-08,77,Spartanburg,0,32
2020-04-08,77,Union,0,3
2020-04-09,78,Abbeville,0,0
2020-04-09,78,Anderson,0,0
