date,time,location,growth
2020-04-24,93,Mountain West,76
2020-04-24,93,North East,1360
2020-04-24,93,Other,21
2020-04-24,93,Pacific West,119
2020-04-24,93,South,344
2020-04-24,93,South West,76
2020-04-25,94,Mid West,387
2020-04-25,94,Mountain West,128
2020-04-25,94,North East,1265
2020-04-25,94,Other,22
2020-04-25,94,Pacific West,111
2020-04-25,94,South,221
2020-04-25,94,South West,44
2020-04-26,95,Mid West,284
2020-04-26,95,Mountain West,22
2020-04-26,95,North East,1141
2020-04-26,95,Other,18
2020-04-26,95,Pacific West,85
2020-04-26,95,South,136
2020-04-26,95,South West,38
2020-04-27,96,Mid West,381
2020-04-27,96,Mountain West,5
2020-04-27,96,North East,796
2020-04-27,96,Other,15
2020-04-27,96,Pacific West,64
2020-04-27,96,South,118
2020-04-27,96,South West,34
2020-04-28,97,Mid West,295
2020-04-28,97,Mountain West,18
2020-04-28,97,North East,932
2020-04-28,97,Other,7
2020-04-28,97,Pacific West,68
2020-04-28,97,South,152
2020-04-28,97,South West,23
2020-04-29,98,Mid West,468
2020-04-29,98,Mountain West,48
2020-04-29,98,North East,1262
2020-04-29,98,Other,7
2020-04-29,98,Pacific West,96
2020-04-29,98,South,305
2020-04-29,98,South West,42
2020-04-30,99,Mid West,354
2020-04-30,99,Mountain West,46
2020-04-30,99,North East,1526
2020-04-30,99,Other,15
2020-04-30,99,Pacific West,99
2020-04-30,99,South,285
2020-04-30,99,South West,73
2020-05-01,100,Mid West,425
2020-05-01,100,Mountain West,25
2020-05-01,100,North East,1296
2020-05-01,100,Other,25
2020-05-01,100,Pacific West,89
2020-05-01,100,South,252
2020-05-01,100,South West,69
2020-05-02,101,Mid West,350
2020-05-02,101,Mountain West,50
2020-05-02,101,North East,1080
2020-05-02,101,Other,9
2020-05-02,101,Pacific West,114
2020-05-02,101,South,258
2020-05-02,101,South West,50
2020-05-03,102,Mid West,405
2020-05-03,102,Mountain West,24
2020-05-03,102,North East,1021
2020-05-03,102,Other,10
2020-05-03,102,Pacific West,71
2020-05-03,102,South,166
2020-05-03,102,South West,38
2020-05-04,103,Mid West,237
2020-05-04,103,Mountain West,14
2020-05-04,103,North East,697
2020-05-04,103,Other,13
2020-05-04,103,Pacific West,51
2020-05-04,103,South,119
2020-05-04,103,South West,68
2020-05-05,104,Mid West,240
2020-05-05,104,Mountain West,16
2020-05-05,104,North East,798
2020-05-05,104,Other,7
2020-05-05,104,Pacific West,75
2020-05-05,104,South,210
2020-05-05,104,South West,31
2020-05-06,105,Mid West,400
2020-05-06,105,Mountain West,64
2020-05-06,105,North East,1241
2020-05-06,105,Other,8
2020-05-06,105,Pacific West,116
2020-05-06,105,South,321
2020-05-06,105,South West,57
2020-05-07,106,Mid West,381
2020-05-07,106,Mountain West,38
2020-05-07,106,North East,1434
2020-05-07,106,Other,13
2020-05-07,106,Pacific West,99
2020-05-07,106,South,288
2020-05-07,106,South West,68
2020-05-08,107,Mid West,392
2020-05-08,107,Mountain West,37
2020-05-08,107,North East,1072
2020-05-08,107,Other,11
2020-05-08,107,Pacific West,92
2020-05-08,107,South,253
2020-05-08,107,South West,62
2020-05-09,108,Mid West,339
2020-05-09,108,Mountain West,13
2020-05-09,108,North East,942
2020-05-09,108,Other,24
2020-05-09,108,Pacific West,98
2020-05-09,108,South,234
2020-05-09,108,South West,109
2020-05-10,109,Mid West,389
2020-05-10,109,Mountain West,31
2020-05-10,109,North East,736
2020-05-10,109,Other,8
2020-05-10,109,Pacific West,89
2020-05-10,109,South,160
2020-05-10,109,South West,56
2020-05-11,110,Mid West,210
2020-05-11,110,Mountain West,2
2020-05-11,110,North East,601
2020-05-11,110,Other,15
2020-05-11,110,Pacific West,47
2020-05-11,110,South,72
2020-05-11,110,South West,44
2020-05-12,111,Mid West,208
2020-05-12,111,Mountain West,22
2020-05-12,111,North East,546
2020-05-12,111,Other,8
2020-05-12,111,Pacific West,71
2020-05-12,111,South,144
2020-05-12,111,South West,38
2020-05-13,112,Mid West,391
2020-05-13,112,Mountain West,36
2020-05-13,112,North East,681
2020-05-13,112,Other,10
2020-05-13,112,Pacific West,115
2020-05-13,112,South,297
2020-05-13,112,South West,67
2020-05-14,113,Mid West,374
2020-05-14,113,Mountain West,64
2020-05-14,113,North East,919
2020-05-14,113,Other,15
2020-05-14,113,Pacific West,80
2020-05-14,113,South,201
2020-05-14,113,South West,70
2020-05-15,114,Mid West,360
2020-05-15,114,Mountain West,29
2020-05-15,114,North East,927
2020-05-15,114,Other,10
2020-05-15,114,Pacific West,111
2020-05-15,114,South,227
2020-05-15,114,South West,111
2020-05-16,115,Mid West,324
2020-05-16,115,Mountain West,76
2020-05-16,115,North East,856
2020-05-16,115,Other,15
2020-05-16,115,Pacific West,94
2020-05-16,115,South,207
2020-05-16,115,South West,93
2020-05-17,116,Mid West,248
2020-05-17,116,Mountain West,48
2020-05-17,116,North East,603
2020-05-17,116,Other,7
2020-05-17,116,Pacific West,78
2020-05-17,116,South,148
2020-05-17,116,South West,69
2020-05-18,117,Mid West,167
2020-05-18,117,Mountain West,29
2020-05-18,117,North East,471
2020-05-18,117,Other,9
2020-05-18,117,Pacific West,45
2020-05-18,117,South,75
2020-05-18,117,South West,33
2020-05-19,118,Mid West,200
2020-05-19,118,Mountain West,20
2020-05-19,118,North East,747
2020-05-19,118,Other,10
2020-05-19,118,Pacific West,49
2020-05-19,118,South,178
2020-05-19,118,South West,24
2020-05-20,119,Mid West,371
