date,time,location,growth
2020-03-14,52,Wave 3,0
2020-03-14,52,Western Europe,369
2020-03-15,53,China,13
2020-03-15,53,India,0
2020-03-15,53,Other,127
2020-03-15,53,USA,7
2020-03-15,53,Wave 3,0
2020-03-15,53,Western Europe,273
2020-03-16,54,China,10
2020-03-16,54,India,0
2020-03-16,54,Other,133
2020-03-16,54,USA,12
2020-03-16,54,Wave 3,0
2020-03-16,54,Western Europe,486
2020-03-17,55,China,14
2020-03-17,55,India,0
2020-03-17,55,Other,143
2020-03-17,55,USA,27
2020-03-17,55,Wave 3,0
2020-03-17,55,Western Europe,494
2020-03-18,56,China,13
2020-03-18,56,India,1
2020-03-18,56,Other,178
2020-03-18,56,USA,36
2020-03-18,56,Wave 3,0.9
2020-03-18,56,Western Europe,584
2020-03-19,57,China,11
2020-03-19,57,India,0
2020-03-19,57,Other,210
2020-03-19,57,USA,59
2020-03-19,57,Wave 3,3
2020-03-19,57,Western Europe,622
2020-03-20,58,China,8
2020-03-20,58,India,1
2020-03-20,58,Other,208
2020-03-20,58,USA,72
2020-03-20,58,Wave 3,5
2020-03-20,58,Western Europe,817
2020-03-21,59,China,4
2020-03-21,59,India,1
2020-03-21,59,Other,217
2020-03-21,59,USA,103
2020-03-21,59,Wave 3,9
2020-03-21,59,Western Europe,1148
2020-03-22,60,China,6
2020-03-22,60,India,-1
2020-03-22,60,Other,235
2020-03-22,60,USA,99
2020-03-22,60,Wave 3,7
2020-03-22,60,Western Europe,1372
2020-03-23,61,China,15
2020-03-23,61,India,3
2020-03-23,61,Other,278
2020-03-23,61,USA,110
2020-03-23,61,Wave 3,11
2020-03-23,61,Western Europe,1258
2020-03-24,62,China,0
2020-03-24,62,India,3
2020-03-24,62,Other,265
2020-03-24,62,USA,187
2020-03-24,62,Wave 3,11
2020-03-24,62,Western Europe,1478
2020-03-25,63,China,7
2020-03-25,63,India,0
2020-03-25,63,Other,264
2020-03-25,63,USA,241
2020-03-25,63,Wave 3,17
2020-03-25,63,Western Europe,1759
2020-03-26,64,China,4
2020-03-26,64,India,2
2020-03-26,64,Other,322
2020-03-26,64,USA,326
2020-03-26,64,Wave 3,20
2020-03-26,64,Western Europe,2129
2020-03-27,65,China,6
2020-03-27,65,India,8
2020-03-27,65,Other,424
2020-03-27,65,USA,412
2020-03-27,65,Wave 3,21
2020-03-27,65,Western Europe,2157
2020-03-28,66,China,5
2020-03-28,66,India,0
2020-03-28,66,Other,404
2020-03-28,66,USA,521
2020-03-28,66,Wave 3,22
2020-03-28,66,Western Europe,2535
2020-03-29,67,China,3
2020-03-29,67,India,4
2020-03-29,67,Other,461
2020-03-29,67,USA,635
2020-03-29,67,Wave 3,29
2020-03-29,67,Western Europe,2591
2020-03-30,68,China,5
2020-03-30,68,India,3
2020-03-30,68,Other,454
2020-03-30,68,USA,592
2020-03-30,68,Wave 3,39
2020-03-30,68,Western Europe,2394
2020-03-31,69,China,4
2020-03-31,69,India,5
2020-03-31,69,Other,517
2020-03-31,69,USA,697
2020-03-31,69,Wave 3,38
2020-03-31,69,Western Europe,2804
2020-04-01,70,China,1
2020-04-01,70,India,3
2020-04-01,70,Other,614
2020-04-01,70,USA,1091
2020-04-01,70,Wave 3,59
2020-04-01,70,Western Europe,2986
2020-04-02,71,China,7
2020-04-02,71,India,23
2020-04-02,71,Other,638
2020-04-02,71,USA,1261
2020-04-02,71,Wave 3,69
2020-04-02,71,Western Europe,3978
2020-04-03,72,China,6
2020-04-03,72,India,14
2020-04-03,72,Other,707
2020-04-03,72,USA,1496
2020-04-03,72,Wave 3,125
2020-04-03,72,Western Europe,3523
2020-04-04,73,China,4
2020-04-04,73,India,0
2020-04-04,73,Other,743
2020-04-04,73,USA,1407
2020-04-04,73,Wave 3,59
2020-04-04,73,Western Europe,3924
2020-04-05,74,China,4
2020-04-05,74,India,14
2020-04-05,74,Other,486
2020-04-05,74,USA,1547
2020-04-05,74,Wave 3,132
2020-04-05,74,Western Europe,3715
2020-04-06,75,China,3
2020-04-06,75,India,13
2020-04-06,75,Other,725
2020-04-06,75,USA,1581
2020-04-06,75,Wave 3,74
2020-04-06,75,Western Europe,2758
2020-04-07,76,China,2
2020-04-07,76,India,37
2020-04-07,76,Other,748
2020-04-07,76,USA,1756
2020-04-07,76,Wave 3,127
2020-04-07,76,Western Europe,3253
2020-04-08,77,China,0
2020-04-08,77,India,14
2020-04-08,77,Other,825
2020-04-08,77,USA,2574
2020-04-08,77,Wave 3,172
2020-04-08,77,Western Europe,4672
2020-04-09,78,China,2
2020-04-09,78,India,28
2020-04-09,78,Other,883
2020-04-09,78,USA,2143
2020-04-09,78,Wave 3,188
2020-04-09,78,Western Europe,3550
2020-04-10,79,China,2
2020-04-10,79,India,48
2020-04-10,79,Other,935
2020-04-10,79,USA,2206
2020-04-10,79,Wave 3,185
2020-04-10,79,Western Europe,4411
2020-04-11,80,China,1
2020-04-11,80,India,20
2020-04-11,80,Other,874
2020-04-11,80,USA,2218
2020-04-11,80,Wave 3,204
2020-04-11,80,Western Europe,4085
2020-04-12,81,China,3
2020-04-12,81,India,42
2020-04-12,81,Other,808
2020-04-12,81,USA,2132
2020-04-12,81,Wave 3,139
2020-04-12,81,Western Europe,3053
2020-04-13,82,China,0
2020-04-13,82,India,43
2020-04-13,82,Other,887
2020-04-13,82,USA,1820
